grip requested,grip performed,grip timing
1,1,-37.0
1,1,-59.0
1,1,-115.0
2,0,nan
1,1,-171.0
2,2,5.0
1,1,-125.0
2,2,-119.0
2,2,-113.0
1,1,-175.0
1,0,nan
1,1,7.0
2,0,nan
2,0,nan
1,1,-77.0
1,1,-139.0
2,2,37.0
2,2,111.0
3,3,-87.0
2,2,-81.0
1,1,-75.0
3,3,-97.0
2,2,45.0
1,1,-187.0
1,1,-173.0
2,2,9.0
2,2,185.0
2,0,nan
1,0,nan
1,1,-1.0
1,1,-57.0
1,1,-147.0
2,2,-39.0
1,1,-135.0
2,0,nan
1,1,-89.0
2,2,-83.0
2,2,-76.0
1,1,-138.0
1,1,-166.0
2,0,nan
1,1,-154.0
1,0,nan
